Tipo Test,Tipo Config. Cassa ,NumCassieri,Giorno,IC Tempo Attesa,IC Slowdown,IC SD Tempo Att,IC Abbandoni,IC Arrivi,Lungh. FilaTollerata,NumSimulazioni
0,sperimentale_60_20_20,4,lunedì,"[00:04:16,00:04:26]","[4.495418,4.586803]","[00:01:09,00:04:16]","[712.123193,740.476807]","[4084.800716,4141.399284]",10,20,5
0,sperimentale_60_20_20,4,martedì,"[00:04:11,00:04:21]","[4.429483,4.515212]","[00:01:00,00:03:42]","[646.212011,671.687989]","[3934.155351,3987.744649]",10,20,5
0,sperimentale_60_20_20,4,mercoledì,"[00:04:17,00:04:29]","[4.499436,4.609866]","[00:01:43,00:06:21]","[746.691408,777.008592]","[4162.401890,4220.798110]",10,20,5
0,sperimentale_60_20_20,4,giovedì,"[00:04:15,00:04:28]","[4.474660,4.593121]","[00:02:01,00:07:27]","[731.272874,760.727126]","[4144.265548,4199.434452]",10,20,5
0,sperimentale_60_20_20,4,venerdì,"[00:04:15,00:04:27]","[4.458182,4.565655]","[00:01:42,00:06:17]","[713.712956,741.487044]","[4112.035630,4167.464370]",10,20,5
0,sperimentale_60_20_20,4,sabato,"[00:04:09,00:04:18]","[4.406320,4.489861]","[00:00:52,00:03:14]","[622.468552,645.731448]","[3869.193558,3919.606442]",10,20,5
0,sperimentale_60_20_20,4,domenica,"[00:03:52,00:04:02]","[4.215345,4.318667]","[00:01:11,00:04:23]","[523.362172,547.237828]","[3561.404015,3620.695985]",10,20,5
0,sperimentale_60_20_20,5,lunedì,"[00:04:06,00:04:16]","[4.177623,4.269192]","[00:01:14,00:04:35]","[711.064921,738.435079]","[4084.800716,4141.399284]",10,20,5
0,sperimentale_60_20_20,5,martedì,"[00:04:03,00:04:13]","[4.175251,4.260092]","[00:01:01,00:03:48]","[645.926681,671.373319]","[3934.155351,3987.744649]",10,20,5
0,sperimentale_60_20_20,5,mercoledì,"[00:04:06,00:04:19]","[4.164615,4.280868]","[00:01:51,00:06:52]","[745.834294,775.865706]","[4162.401890,4220.798110]",10,20,5
0,sperimentale_60_20_20,5,giovedì,"[00:04:05,00:04:19]","[4.159161,4.279714]","[00:02:05,00:07:42]","[730.672019,759.327981]","[4144.265548,4199.434452]",10,20,5
0,sperimentale_60_20_20,5,venerdì,"[00:04:06,00:04:18]","[4.170146,4.280499]","[00:01:46,00:06:33]","[713.526567,741.073433]","[4112.035630,4167.464370]",10,20,5
0,sperimentale_60_20_20,5,sabato,"[00:04:01,00:04:10]","[4.159015,4.238237]","[00:00:52,00:03:13]","[622.249410,645.350590]","[3869.193558,3919.606442]",10,20,5
0,sperimentale_60_20_20,5,domenica,"[00:03:45,00:03:55]","[4.001525,4.090622]","[00:01:05,00:03:59]","[523.097334,547.002666]","[3561.404015,3620.695985]",10,20,5
0,sperimentale_60_20_20,6,lunedì,"[00:02:40,00:02:42]","[3.484650,3.519176]","[00:00:03,00:00:13]","[670.765720,691.834280]","[4084.800716,4141.399284]",10,20,5
0,sperimentale_60_20_20,6,martedì,"[00:02:42,00:02:45]","[3.526313,3.572545]","[00:00:05,00:00:19]","[616.512197,637.987803]","[3934.155351,3987.744649]",10,20,5
0,sperimentale_60_20_20,6,mercoledì,"[00:02:38,00:02:40]","[3.451634,3.494173]","[00:00:04,00:00:18]","[700.797917,723.802083]","[4162.401890,4220.798110]",10,20,5
0,sperimentale_60_20_20,6,giovedì,"[00:02:39,00:02:41]","[3.463910,3.505264]","[00:00:03,00:00:12]","[690.862525,712.937475]","[4144.265548,4199.434452]",10,20,5
0,sperimentale_60_20_20,6,venerdì,"[00:02:39,00:02:42]","[3.477611,3.514515]","[00:00:03,00:00:11]","[677.608548,699.091452]","[4112.035630,4167.464370]",10,20,5
0,sperimentale_60_20_20,6,sabato,"[00:02:42,00:02:45]","[3.518511,3.570564]","[00:00:06,00:00:25]","[595.095327,614.404673]","[3869.193558,3919.606442]",10,20,5
0,sperimentale_60_20_20,6,domenica,"[00:02:37,00:02:42]","[3.445252,3.517434]","[00:00:14,00:00:53]","[501.661802,521.238198]","[3561.404015,3620.695985]",10,20,5
0,sperimentale_60_20_20,7,lunedì,"[00:02:38,00:02:41]","[3.441820,3.479125]","[00:00:03,00:00:14]","[670.765720,691.834280]","[4084.800716,4141.399284]",10,20,5
0,sperimentale_60_20_20,7,martedì,"[00:02:41,00:02:44]","[3.489781,3.537931]","[00:00:05,00:00:20]","[616.512197,637.987803]","[3934.155351,3987.744649]",10,20,5
0,sperimentale_60_20_20,7,mercoledì,"[00:02:36,00:02:39]","[3.407317,3.452200]","[00:00:05,00:00:19]","[700.797917,723.802083]","[4162.401890,4220.798110]",10,20,5
0,sperimentale_60_20_20,7,giovedì,"[00:02:37,00:02:39]","[3.420811,3.464075]","[00:00:03,00:00:13]","[690.862525,712.937475]","[4144.265548,4199.434452]",10,20,5
0,sperimentale_60_20_20,7,venerdì,"[00:02:38,00:02:40]","[3.437026,3.475958]","[00:00:03,00:00:12]","[677.608548,699.091452]","[4112.035630,4167.464370]",10,20,5
0,sperimentale_60_20_20,7,sabato,"[00:02:41,00:02:44]","[3.482841,3.536624]","[00:00:07,00:00:26]","[595.095327,614.404673]","[3869.193558,3919.606442]",10,20,5
0,sperimentale_60_20_20,7,domenica,"[00:02:36,00:02:41]","[3.413883,3.487148]","[00:00:14,00:00:54]","[501.661802,521.238198]","[3561.404015,3620.695985]",10,20,5
0,sperimentale_60_20_20,8,lunedì,"[00:00:52,00:00:57]","[1.791800,1.874404]","[00:00:20,00:01:16]","[55.477199,71.222801]","[4084.800716,4141.399284]",10,20,5
0,sperimentale_60_20_20,8,martedì,"[00:00:45,00:00:51]","[1.692594,1.776716]","[00:00:21,00:01:17]","[30.193496,42.906504]","[3934.155351,3987.744649]",10,20,5
0,sperimentale_60_20_20,8,mercoledì,"[00:00:56,00:01:01]","[1.851457,1.934524]","[00:00:20,00:01:14]","[66.541974,81.858026]","[4162.401890,4220.798110]",10,20,5
0,sperimentale_60_20_20,8,giovedì,"[00:00:53,00:00:58]","[1.810198,1.890484]","[00:00:18,00:01:08]","[55.471659,69.528341]","[4144.265548,4199.434452]",10,20,5
